"","schedule_week","Date","Home Team","Away Team","Winner Pick","Spread Pick","Over/Under Pick"
"9110",10,2017-11-12,"ATL","DAL","ATL (68%)","ATL (0)","Over (41)"
"9111",10,2017-11-12,"CHI","GB","GB (92%)","GB (0)","Over (41)"
"9112",10,2017-11-12,"LAR","HOU","HOU (67%)","HOU (0)","Under (41)"
"9113",10,2017-11-12,"JAX","LAC","JAX (60%)","JAX (0)","Over (41)"
"9114",10,2017-11-12,"WAS","MIN","WAS (55%)","WAS (0)","Over (41)"
"9115",10,2017-11-12,"DEN","NE","NE (57%)","DEN (0)","Over (41)"
"9116",10,2017-11-12,"BUF","NO","BUF (53%)","BUF (0)","Over (41)"
"9117",10,2017-11-12,"SF","NYG","NYG (86%)","NYG (0)","Under (41)"
"9118",10,2017-11-12,"TB","NYJ","TB (87%)","TB (0)","Under (41)"
"9119",10,2017-11-12,"IND","PIT","PIT (86%)","PIT (0)","Over (41)"
"9120",10,2017-11-13,"CAR","MIA","MIA (52%)","CAR (0)","Over (41)"
"9121",11,2017-11-16,"PIT","TEN","PIT (84%)","PIT (0)","Over (41)"
"9122",11,2017-11-19,"HOU","ARI","ARI (51%)","HOU (0)","Over (41)"
"9123",11,2017-11-19,"GB","BAL","GB (76%)","GB (0)","Over (41)"
"9124",11,2017-11-19,"LAC","BUF","BUF (62%)","BUF (0)","Over (41)"
"9125",11,2017-11-19,"DEN","CIN","DEN (90%)","DEN (0)","Under (41)"
"9126",11,2017-11-19,"CHI","DET","DET (92%)","DET (0)","Over (41)"
"9127",11,2017-11-19,"CLE","JAX","JAX (61%)","JAX (0)","Under (41)"
"9128",11,2017-11-19,"NYG","KC","KC (78%)","KC (0)","Over (41)"
"9129",11,2017-11-19,"MIN","LAR","MIN (83%)","MIN (0)","Under (41)"
"9130",11,2017-11-19,"OAK","NE","NE (52%)","OAK (0)","Over (41)"
"9131",11,2017-11-19,"DAL","PHI","DAL (73%)","DAL (0)","Over (41)"
"9132",11,2017-11-19,"MIA","TB","MIA (61%)","MIA (0)","Over (41)"
"9133",11,2017-11-19,"NO","WAS","NO (54%)","NO (0)","Over (41)"
"9134",11,2017-11-20,"SEA","ATL","ATL (66%)","ATL (0)","Over (41)"
"9135",12,2017-11-23,"DAL","LAC","DAL (94%)","DAL (0)","Over (41)"
"9136",12,2017-11-23,"DET","MIN","DET (78%)","DET (0)","Under (41)"
"9137",12,2017-11-23,"WAS","NYG","NYG (53%)","WAS (0)","Over (41)"
"9138",12,2017-11-26,"KC","BUF","KC (95%)","KC (0)","Over (41)"
"9139",12,2017-11-26,"NYJ","CAR","CAR (71%)","CAR (0)","Over (41)"
"9140",12,2017-11-26,"PHI","CHI","PHI (92%)","PHI (0)","Under (41)"
"9141",12,2017-11-26,"CIN","CLE","CIN (83%)","CIN (0)","Under (41)"
"9142",12,2017-11-26,"OAK","DEN","OAK (63%)","OAK (0)","Over (41)"
"9143",12,2017-11-26,"PIT","GB","PIT (69%)","PIT (0)","Over (41)"
"9144",12,2017-11-26,"ARI","JAX","ARI (85%)","ARI (0)","Over (41)"
"9145",12,2017-11-26,"NE","MIA","NE (76%)","NE (0)","Over (41)"
"9146",12,2017-11-26,"LAR","NO","NO (65%)","NO (0)","Over (41)"
"9147",12,2017-11-26,"SF","SEA","SEA (87%)","SEA (0)","Over (41)"
"9148",12,2017-11-26,"ATL","TB","ATL (75%)","ATL (0)","Over (41)"
"9149",12,2017-11-26,"IND","TEN","TEN (60%)","TEN (0)","Over (41)"
"9150",12,2017-11-27,"BAL","HOU","BAL (64%)","BAL (0)","Under (41)"
"9151",13,2017-11-30,"DAL","WAS","DAL (80%)","DAL (0)","Over (41)"
"9152",13,2017-12-03,"NO","CAR","CAR (57%)","NO (0)","Over (41)"
"9153",13,2017-12-03,"LAC","CLE","LAC (73%)","LAC (0)","Over (41)"
"9154",13,2017-12-03,"MIA","DEN","MIA (52%)","MIA (0)","Over (41)"
"9155",13,2017-12-03,"BAL","DET","DET (62%)","PICK (0)","Over (41)"
"9156",13,2017-12-03,"TEN","HOU","TEN (65%)","TEN (0)","Over (41)"
"9157",13,2017-12-03,"JAX","IND","IND (55%)","JAX (0)","Under (41)"
"9158",13,2017-12-03,"NYJ","KC","KC (93%)","KC (0)","Over (41)"
"9159",13,2017-12-03,"ARI","LAR","ARI (86%)","ARI (0)","Over (41)"
"9160",13,2017-12-03,"ATL","MIN","ATL (85%)","ATL (0)","Over (41)"
"9161",13,2017-12-03,"BUF","NE","NE (86%)","NE (0)","Over (41)"
"9162",13,2017-12-03,"OAK","NYG","OAK (77%)","OAK (0)","Over (41)"
"9163",13,2017-12-03,"SEA","PHI","SEA (61%)","SEA (0)","Under (41)"
"9164",13,2017-12-03,"CHI","SF","CHI (60%)","CHI (0)","Under (41)"
"9165",13,2017-12-03,"GB","TB","GB (65%)","GB (0)","Over (41)"
"9166",13,2017-12-04,"CIN","PIT","PIT (88%)","PIT (0)","Over (41)"
"9167",14,2017-12-07,"ATL","NO","ATL (89%)","ATL (0)","Over (41)"
"9168",14,2017-12-10,"PIT","BAL","PIT (85%)","PIT (0)","Over (41)"
"9169",14,2017-12-10,"CIN","CHI","CIN (77%)","CIN (0)","Under (41)"
"9170",14,2017-12-10,"NYG","DAL","DAL (58%)","NYG (0)","Over (41)"
"9171",14,2017-12-10,"TB","DET","TB (51%)","TB (0)","Over (41)"
"9172",14,2017-12-10,"CLE","GB","GB (94%)","GB (0)","Over (41)"
"9173",14,2017-12-10,"BUF","IND","BUF (62%)","BUF (0)","Over (41)"
"9174",14,2017-12-10,"CAR","MIN","CAR (66%)","CAR (0)","Under (41)"
"9175",14,2017-12-10,"DEN","NYJ","DEN (91%)","DEN (0)","Under (41)"
"9176",14,2017-12-10,"KC","OAK","KC (73%)","KC (0)","Over (41)"
"9177",14,2017-12-10,"LAR","PHI","PHI (76%)","PHI (0)","Over (41)"
"9178",14,2017-12-10,"JAX","SEA","SEA (78%)","SEA (0)","Under (41)"
"9179",14,2017-12-10,"HOU","SF","HOU (87%)","HOU (0)","Under (41)"
"9180",14,2017-12-10,"ARI","TEN","ARI (60%)","ARI (0)","Over (41)"
"9181",14,2017-12-10,"LAC","WAS","WAS (70%)","WAS (0)","Over (41)"
"9182",14,2017-12-11,"MIA","NE","NE (62%)","PICK (0)","Over (41)"
"9183",15,2017-12-14,"IND","DEN","DEN (79%)","DEN (0)","Over (41)"
"9184",15,2017-12-16,"DET","CHI","DET (96%)","DET (0)","Under (41)"
"9185",15,2017-12-16,"KC","LAC","KC (98%)","KC (0)","Over (41)"
"9186",15,2017-12-17,"WAS","ARI","WAS (51%)","WAS (0)","Over (41)"
"9187",15,2017-12-17,"CLE","BAL","BAL (86%)","BAL (0)","Under (41)"
"9188",15,2017-12-17,"MIN","CIN","MIN (75%)","MIN (0)","Under (41)"
"9189",15,2017-12-17,"OAK","DAL","OAK (64%)","OAK (0)","Over (41)"
"9190",15,2017-12-17,"CAR","GB","GB (56%)","CAR (0)","Over (41)"
"9191",15,2017-12-17,"JAX","HOU","HOU (66%)","HOU (0)","Under (41)"
"9192",15,2017-12-17,"SEA","LAR","SEA (88%)","SEA (0)","Under (41)"
"9193",15,2017-12-17,"BUF","MIA","MIA (71%)","MIA (0)","Over (41)"
"9194",15,2017-12-17,"PIT","NE","PIT (54%)","PIT (0)","Over (41)"
"9195",15,2017-12-17,"NO","NYJ","NO (71%)","NO (0)","Over (41)"
"9196",15,2017-12-17,"NYG","PHI","NYG (59%)","NYG (0)","Under (41)"
"9197",15,2017-12-17,"SF","TEN","TEN (82%)","TEN (0)","Over (41)"
"9198",15,2017-12-18,"TB","ATL","ATL (60%)","TB (0)","Over (41)"
"9199",16,2017-12-23,"BAL","IND","BAL (74%)","BAL (0)","Under (41)"
"9200",16,2017-12-23,"GB","MIN","GB (78%)","GB (0)","Over (41)"
"9201",16,2017-12-24,"NO","ATL","ATL (79%)","ATL (0)","Over (41)"
"9202",16,2017-12-24,"NE","BUF","NE (93%)","NE (0)","Over (41)"
"9203",16,2017-12-24,"CHI","CLE","CHI (65%)","CHI (0)","Under (41)"
"9204",16,2017-12-24,"WAS","DEN","DEN (68%)","DEN (0)","Over (41)"
"9205",16,2017-12-24,"CIN","DET","DET (80%)","DET (0)","Over (41)"
"9206",16,2017-12-24,"SF","JAX","JAX (56%)","PICK (0)","Under (41)"
"9207",16,2017-12-24,"NYJ","LAC","NYJ (68%)","NYJ (0)","Over (41)"
"9208",16,2017-12-24,"TEN","LAR","TEN (84%)","TEN (0)","Over (41)"
"9209",16,2017-12-24,"KC","MIA","KC (82%)","KC (0)","Over (41)"
"9210",16,2017-12-24,"ARI","NYG","ARI (55%)","ARI (0)","Over (41)"
"9211",16,2017-12-24,"DAL","SEA","DAL (71%)","DAL (0)","Over (41)"
"9212",16,2017-12-24,"CAR","TB","CAR (51%)","CAR (0)","Over (41)"
"9213",16,2017-12-25,"PHI","OAK","OAK (65%)","OAK (0)","Over (41)"
"9214",16,2017-12-25,"HOU","PIT","PIT (79%)","PIT (0)","Under (41)"
"9215",17,2017-12-31,"SEA","ARI","SEA (63%)","SEA (0)","Over (41)"
"9216",17,2017-12-31,"MIA","BUF","MIA (83%)","MIA (0)","Over (41)"
"9217",17,2017-12-31,"ATL","CAR","ATL (80%)","ATL (0)","Over (41)"
"9218",17,2017-12-31,"MIN","CHI","MIN (89%)","MIN (0)","Under (41)"
"9219",17,2017-12-31,"BAL","CIN","BAL (77%)","BAL (0)","Under (41)"
"9220",17,2017-12-31,"PIT","CLE","PIT (99%)","PIT (0)","Under (41)"
"9221",17,2017-12-31,"PHI","DAL","DAL (59%)","PHI (0)","Over (41)"
"9222",17,2017-12-31,"DET","GB","DET (57%)","DET (0)","Over (41)"
"9223",17,2017-12-31,"IND","HOU","HOU (53%)","IND (0)","Under (41)"
"9224",17,2017-12-31,"TEN","JAX","TEN (84%)","TEN (0)","Over (41)"
"9225",17,2017-12-31,"DEN","KC","KC (64%)","PICK (0)","Over (41)"
"9226",17,2017-12-31,"TB","NO","TB (77%)","TB (0)","Over (41)"
"9227",17,2017-12-31,"NE","NYJ","NE (96%)","NE (0)","Over (41)"
"9228",17,2017-12-31,"LAC","OAK","OAK (91%)","OAK (0)","Over (41)"
"9229",17,2017-12-31,"LAR","SF","LAR (70%)","LAR (0)","Under (41)"
"9230",17,2017-12-31,"NYG","WAS","NYG (68%)","NYG (0)","Over (41)"
