"","game_id","team_winner","team_loser","team_home_result","team_away_result","team_home_elo_pre","team_away_elo_pre","team_home_elo_pre_diff","team_away_elo_pre_diff","team_home_win_prob","team_away_win_prob"
"3424","19941224KCOAK","KC","OAK","Loss","Win",1181,959,222,-222,0.783740535349247,0.216259464650753
"3425","19941224WASLAR","WAS","LAR","Loss","Win",760,691,69,-69,0.596365940186655,0.403634059813345
"3426","19941224DALNYG","NYG","DAL","Win","Loss",1065,1248,-183,183,0.258815096466432,0.741184903533568
"3427","19941224PITLAC","LAC","PIT","Win","Loss",1056,1257,-201,201,0.238652957108259,0.761347042891741
"3428","19941224GBTB","GB","TB","Loss","Win",929,1082,-153,153,0.294275611185452,0.705724388814548
"3429","19941225DETMIA","MIA","DET","Win","Loss",981,1166,-185,185,0.256532138929164,0.743467861070836
"3430","19941226SFMIN","MIN","SF","Win","Loss",1051,1331,-280,280,0.161099403081291,0.838900596918709
"3431","19950903CARATL","ATL","CAR","Win","Loss",968,1000,-32,32,0.454960937079491,0.545039062920509
"3432","19950903MINCHI","CHI","MIN","Win","Loss",1001,1135,-134,134,0.317834980481901,0.682165019518099
"3433","19950903BUFDEN","DEN","BUF","Win","Loss",983,923,60,-60,0.583997985713682,0.416002014286318
"3434","19950903LARGB","LAR","GB","Loss","Win",1111,700,411,-411,0.926902620105901,0.0730973798940993
"3435","19950903CININD","CIN","IND","Loss","Win",1017,784,233,-233,0.794967542732839,0.205032457267161
"3436","19950903TENJAX","TEN","JAX","Loss","Win",1000,755,245,-245,0.806811345270123,0.193188654729877
"3437","19950903NYJMIA","MIA","NYJ","Win","Loss",1055,798,257,-257,0.818227851809384,0.181772148190616
"3438","19950903CLENE","NE","CLE","Win","Loss",1184,1077,107,-107,0.647396917588992,0.352603082411008
"3439","19950903SFNO","SF","NO","Loss","Win",1063,1247,-184,184,0.25767230499916,0.74232769500084
"3440","19950903LACOAK","OAK","LAC","Win","Loss",1103,1132,-29,29,0.459167809094084,0.540832190905916
"3441","19950903TBPHI","TB","PHI","Loss","Win",848,900,-52,52,0.427066442582152,0.572933557417848
